Customer_ID,Age,Gender,Region,Company_Size,Industry,Product_Category,Annual_Spend,Number_of_Orders,Average_Order_Value,Recency_Days,Purchase_Frequency,Preferred_Product,Customer_Tenure_Months
CUST0039,39.0,Male,Coimbatore,Medium,Automotive,Sensors,120480.59,3,40160.2,13,0.25,Proximity Sensor,22
CUST0040,47.0,Male,Pune,Medium,Manufacturing,Control,211177.01,3,70392.34,26,0.25,HMI,3
CUST0041,31.0,Male,Bengaluru,Small,General Engineering,Machine Vision,145364.07,7,20766.3,30,0.583,Machine Vision Camera,14
CUST0042,41.0,Female,Ahmedabad,Large,Manufacturing,End Effectors,261877.46,7,37411.07,61,0.583,Vacuum Gripper,34
CUST0043,42.0,Female,Bengaluru,Small,Textile,Control,102031.78,4,25507.95,53,0.333,PLC,4
CUST0044,33.0,Male,Pune,Small,Textile,End Effectors,158812.29,4,39703.07,103,0.333,Robotic Gripper,18
CUST0045,39.0,Male,Hyderabad,Medium,Manufacturing,Motion Control,197705.93,5,39541.19,78,0.417,Servo Motor,33
CUST0046,36.0,Male,Chennai,Small,Pharmaceutical,End Effectors,191477.13,4,47869.28,36,0.333,Robotic Gripper,28
CUST0047,34.0,Male,Coimbatore,Medium,Pharmaceutical,Robotics,373397.89,4,93349.47,90,0.333,Robot Controller,14
CUST0048,30.0,Male,Chennai,Medium,Pharmaceutical,Motion Control,84192.62,5,16838.52,53,0.417,Servo Motor,16
CUST0049,47.0,Male,Pune,Medium,Automotive,Sensors,93194.68,12,7766.22,122,1.0,Proximity Sensor,33
CUST0050,37.0,Female,Bengaluru,Medium,General Engineering,Motion Control,291950.1,3,97316.7,62,0.25,Servo Drive,44
CUST0051,41.0,Female,Pune,Large,Manufacturing,Robotics,838634.79,8,104829.35,127,0.667,Collaborative Robot,40
CUST0052,27.0,Female,Bengaluru,Medium,Warehouse & Logistics,Robotics,344664.38,7,49237.77,101,0.583,SCARA Robot,39
CUST0053,44.0,Male,Chennai,Large,Automotive,Sensors,223696.02,8,27962.0,10,0.667,Ultrasonic Sensor,31
CUST0054,40.0,Male,Bengaluru,Small,Manufacturing,Mobile Robotics,336731.23,5,67346.25,31,0.417,AMR,3
CUST0055,44.0,Male,Mumbai,Large,Electronics,End Effectors,176365.24,11,16033.2,39,0.917,Robotic Gripper,34
CUST0056,38.0,Male,Hyderabad,Medium,Electronics,Motion Control,288876.21,5,57775.24,8,0.417,Servo Motor,30
CUST0057,37.0,Female,Hyderabad,Large,Manufacturing,Motion Control,385226.42,6,64204.4,34,0.5,Servo Drive,44
CUST0058,29.0,Male,Chennai,Medium,Manufacturing,Robotics,428438.56,4,107109.64,60,0.333,Collaborative Robot,40
CUST0059,38.0,Female,Pune,Medium,Manufacturing,End Effectors,151712.21,3,50570.74,125,0.25,Robotic Gripper,16
CUST0060,43.0,Female,Delhi NCR,Small,Manufacturing,Sensors,59435.66,3,19811.89,20,0.25,Proximity Sensor,44
CUST0061,34.0,Male,Chennai,Medium,Pharmaceutical,Robotics,500104.16,3,166701.39,48,0.25,SCARA Robot,28
CUST0062,32.0,Male,Hyderabad,Medium,Pharmaceutical,Sensors,136751.52,7,19535.93,65,0.583,Proximity Sensor,41
CUST0063,33.0,Male,Bengaluru,Small,Pharmaceutical,End Effectors,175276.26,5,35055.25,88,0.417,Robotic Gripper,3
CUST0064,38.0,Female,Mumbai,Large,Food Processing,Robotics,1046496.6,7,149499.51,56,0.583,Industrial Robot,47
CUST0065,27.0,Male,Ahmedabad,Medium,Warehouse & Logistics,Motion Control,142389.62,2,71194.81,83,0.167,Servo Drive,38
CUST0066,32.0,Male,Chennai,Small,General Engineering,Robotics,511144.13,3,170381.38,41,0.25,Industrial Robot,20
CUST0067,53.0,Female,Mumbai,Large,Food Processing,Sensors,200105.13,8,25013.14,22,0.667,LiDAR Sensor,33
CUST0068,41.0,Male,Bengaluru,Medium,Textile,Robotics,551861.1,11,50169.19,22,0.917,Robot Controller,33
CUST0069,25.0,Male,Hyderabad,Small,General Engineering,Robotics,249469.37,3,83156.46,91,0.25,Collaborative Robot,19
CUST0070,38.0,Male,Ahmedabad,Medium,Manufacturing,Mobile Robotics,502434.82,3,167478.27,44,0.25,AMR,12
CUST0071,42.0,Male,Delhi NCR,Large,Warehouse & Logistics,Mobile Robotics,748271.61,8,93533.95,21,0.667,AGV,20
CUST0072,41.0,Male,Delhi NCR,Medium,Electronics,Robotics,346110.25,8,43263.78,160,0.667,Industrial Robot,20
CUST0073,34.0,Male,Pune,Medium,Electronics,End Effectors,198654.63,8,24831.83,90,0.667,Vacuum Gripper,35
CUST0074,35.0,Male,Pune,Medium,Electronics,Mobile Robotics,203164.69,7,29023.53,6,0.583,AGV,27
CUST0075,45.0,Female,Hyderabad,Medium,Automotive,Sensors,128445.04,4,32111.26,91,0.333,Proximity Sensor,26
CUST0076,40.0,Female,Mumbai,Medium,Warehouse & Logistics,Sensors,122616.83,9,13624.09,97,0.75,Ultrasonic Sensor,44
CUST0077,45.0,Female,Pune,Medium,Warehouse & Logistics,Mobile Robotics,334684.38,8,41835.55,70,0.667,AMR,37
CUST0078,43.0,Female,Coimbatore,Small,Food Processing,Mobile Robotics,340425.19,5,68085.04,13,0.417,AMR,34
CUST0079,36.0,Male,Ahmedabad,Large,Textile,Mobile Robotics,573670.05,10,57367.0,110,0.833,AGV,57
CUST0080,30.0,Male,Ahmedabad,Large,Automotive,Mobile Robotics,755196.43,5,151039.29,33,0.417,AMR,53
CUST0081,48.0,Male,Delhi NCR,Medium,Electronics,Robotics,596910.35,7,85272.91,31,0.583,Robot Controller,25
CUST0082,35.0,Female,Chennai,Large,Manufacturing,Machine Vision,388401.68,7,55485.95,56,0.583,Machine Vision Camera,32
CUST0083,41.0,Male,Pune,Large,Manufacturing,Motion Control,311051.91,12,25920.99,38,1.0,Servo Motor,22
CUST0084,36.0,Male,Delhi NCR,Medium,Automotive,Mobile Robotics,332992.14,6,55498.69,18,0.5,AGV,21
CUST0085,29.0,Female,Mumbai,Large,Textile,Control,245259.06,11,22296.28,55,0.917,HMI,57
CUST0086,41.0,Female,Bengaluru,Small,Textile,Motion Control,156802.25,5,31360.45,83,0.417,Servo Motor,10
CUST0087,24.0,Male,Mumbai,Large,Automotive,Sensors,109160.4,9,12128.93,45,0.75,LiDAR Sensor,44
CUST0088,38.0,Female,Delhi NCR,Medium,General Engineering,Mobile Robotics,374120.33,5,74824.07,45,0.417,AGV,31
CUST0089,39.0,Male,Chennai,Medium,Manufacturing,Sensors,148828.46,6,24804.74,24,0.5,Proximity Sensor,42
CUST0090,45.0,Male,Ahmedabad,Medium,Warehouse & Logistics,Robotics,653675.33,3,217891.78,50,0.25,SCARA Robot,3
CUST0091,28.0,Male,Hyderabad,Medium,Electronics,Motion Control,193304.58,8,24163.07,83,0.667,Servo Drive,12
CUST0092,44.0,Female,Chennai,Medium,Electronics,Sensors,85252.76,9,9472.53,94,0.75,LiDAR Sensor,35
CUST0093,39.0,Male,Chennai,Small,Textile,Motion Control,94542.41,3,31514.14,91,0.25,Servo Drive,15
CUST0094,48.0,Male,Delhi NCR,Large,General Engineering,Mobile Robotics,556688.43,8,69586.05,23,0.667,AMR,39
CUST0095,31.0,Male,Pune,Large,General Engineering,Control,391777.74,5,78355.55,162,0.417,HMI,50
CUST0096,40.0,Male,Bengaluru,Medium,Warehouse & Logistics,Control,206837.82,6,34472.97,23,0.5,PLC,3
CUST0097,33.0,Male,Chennai,Medium,Food Processing,Motion Control,143290.42,5,28658.08,72,0.417,Servo Drive,29
CUST0098,36.0,Male,Coimbatore,Small,Warehouse & Logistics,Sensors,53385.05,1,53385.05,15,0.083,Ultrasonic Sensor,35
CUST0099,42.0,Male,Mumbai,Medium,Electronics,Robotics,667465.04,7,95352.15,56,0.583,Robot Controller,46
CUST0100,32.0,Male,Coimbatore,Small,Automotive,Robotics,372152.84,6,62025.47,11,0.5,Industrial Robot,3
CUST0101,39.0,Female,Coimbatore,Small,Textile,Sensors,15000.0,3,5000.0,46,0.25,Proximity Sensor,23
CUST0102,32.0,Male,Chennai,Medium,Pharmaceutical,Mobile Robotics,246180.41,2,123090.21,28,0.167,AGV,21
CUST0103,49.0,Male,Mumbai,Medium,Warehouse & Logistics,Sensors,94975.59,3,31658.53,36,0.25,Proximity Sensor,24
CUST0104,23.0,Male,Delhi NCR,Small,Food Processing,Motion Control,279447.14,4,69861.79,40,0.333,Servo Drive,26
CUST0105,40.0,Female,Bengaluru,Medium,Manufacturing,Mobile Robotics,373709.31,3,124569.77,19,0.25,AMR,32
CUST0106,43.0,Male,Chennai,Medium,Automotive,Sensors,115338.8,5,23067.76,84,0.417,Proximity Sensor,39
CUST0107,34.0,Male,Bengaluru,Small,Automotive,Mobile Robotics,212173.78,3,70724.59,60,0.25,AGV,21
CUST0108,44.0,Male,Coimbatore,Large,Pharmaceutical,Mobile Robotics,532478.88,7,76068.41,46,0.583,AGV,68
CUST0109,42.0,Male,Coimbatore,Medium,Warehouse & Logistics,Motion Control,276514.69,4,69128.67,53,0.333,Servo Motor,14
CUST0110,38.0,Female,Delhi NCR,Medium,Manufacturing,Motion Control,188660.05,8,23582.51,27,0.667,Servo Drive,15
CUST0111,37.0,Female,Bengaluru,Small,Textile,Machine Vision,164756.2,4,41189.05,103,0.333,Machine Vision Camera,10
CUST0112,38.0,Male,Pune,Small,Warehouse & Logistics,Control,92657.22,4,23164.3,85,0.333,HMI,8
CUST0113,33.0,Female,Bengaluru,Small,Pharmaceutical,Sensors,88178.34,1,88178.34,45,0.083,LiDAR Sensor,9
CUST0114,42.0,Male,Mumbai,Medium,Warehouse & Logistics,Robotics,767946.71,5,153589.34,77,0.417,SCARA Robot,14
CUST0115,39.0,Female,Mumbai,Medium,Electronics,End Effectors,171706.84,8,21463.35,70,0.667,Vacuum Gripper,44
CUST0116,42.0,Male,Delhi NCR,Medium,Electronics,Control,132553.94,8,16569.24,77,0.667,PLC,29
CUST0117,38.0,Female,Ahmedabad,Medium,Warehouse & Logistics,Robotics,746792.1,4,186698.03,36,0.333,SCARA Robot,3
CUST0118,45.0,Male,Delhi NCR,Medium,General Engineering,Motion Control,223276.19,6,37212.7,104,0.5,Servo Drive,32
CUST0119,35.0,Female,Hyderabad,Large,Automotive,Sensors,196632.03,13,15125.54,32,1.083,Proximity Sensor,42
CUST0120,40.0,Male,Hyderabad,Small,Warehouse & Logistics,Motion Control,15000.0,6,2500.0,179,0.5,Servo Drive,29
CUST0121,31.0,Male,Bengaluru,Small,Pharmaceutical,Mobile Robotics,224801.9,4,56200.47,43,0.333,AMR,23
CUST0122,38.0,Male,Delhi NCR,Medium,Automotive,End Effectors,256988.64,6,42831.44,47,0.5,Robotic Gripper,21
CUST0123,39.0,Female,Coimbatore,Medium,Manufacturing,Mobile Robotics,519008.05,6,86501.34,44,0.5,AMR,43
CUST0124,34.0,Male,Mumbai,Small,Pharmaceutical,Motion Control,185541.98,4,46385.5,53,0.333,Servo Motor,17
CUST0125,43.0,Male,Pune,Large,Electronics,Robotics,786587.53,7,112369.65,39,0.583,Industrial Robot,44
CUST0126,23.0,Female,Chennai,Medium,Automotive,Robotics,203202.09,4,50800.52,46,0.333,Collaborative Robot,37
CUST0127,23.0,Female,Bengaluru,Large,Manufacturing,Machine Vision,308591.03,5,61718.21,49,0.417,Machine Vision Camera,47
CUST0128,39.0,Male,Mumbai,Small,Manufacturing,Motion Control,135688.85,4,33922.21,71,0.333,Servo Motor,8
CUST0129,40.0,Male,Hyderabad,Small,Manufacturing,Robotics,139084.47,4,34771.12,8,0.333,SCARA Robot,29
CUST0130,52.0,Male,Coimbatore,Medium,Automotive,Control,149696.48,5,29939.3,21,0.417,HMI,38
CUST0131,47.0,Male,Pune,Small,Food Processing,Motion Control,136535.64,3,45511.88,57,0.25,Servo Drive,13
CUST0132,42.0,Male,Hyderabad,Medium,Manufacturing,Sensors,121616.2,5,24323.24,60,0.417,LiDAR Sensor,20
CUST0133,43.0,Male,Delhi NCR,Medium,Warehouse & Logistics,Robotics,534144.75,4,133536.19,60,0.333,SCARA Robot,48
CUST0134,40.0,Male,Delhi NCR,Small,Food Processing,Robotics,530532.51,3,176844.17,25,0.25,Collaborative Robot,32
CUST0135,28.0,Male,Bengaluru,Medium,General Engineering,End Effectors,72999.07,5,14599.81,17,0.417,Vacuum Gripper,29
CUST0136,37.0,Female,Ahmedabad,Medium,Warehouse & Logistics,Sensors,163989.94,3,54663.31,4,0.25,Proximity Sensor,13
CUST0137,44.0,Female,Chennai,Small,General Engineering,Mobile Robotics,233414.09,9,25934.9,19,0.75,AMR,11
CUST0138,31.0,Female,Bengaluru,Large,Electronics,Motion Control,330455.63,9,36717.29,3,0.75,Servo Motor,37
CUST0139,40.0,Female,Chennai,Small,Manufacturing,Sensors,103688.31,2,51844.15,38,0.167,Ultrasonic Sensor,52
CUST0140,36.0,Male,Mumbai,Medium,Automotive,Sensors,70352.74,7,10050.39,83,0.583,LiDAR Sensor,23
CUST0141,34.0,Male,Hyderabad,Large,Food Processing,Control,214998.38,4,53749.6,130,0.333,PLC,51
CUST0142,25.0,Male,Mumbai,Small,Warehouse & Logistics,Robotics,306038.65,4,76509.66,13,0.333,Industrial Robot,54
CUST0143,32.0,Female,Delhi NCR,Small,Food Processing,Mobile Robotics,421336.54,4,105334.14,16,0.333,AGV,26
CUST0144,39.0,Female,Hyderabad,Large,Electronics,Robotics,939327.35,12,78277.28,21,1.0,Collaborative Robot,64
CUST0145,43.0,Male,Bengaluru,Medium,General Engineering,Machine Vision,218906.46,7,31272.35,27,0.583,Machine Vision Camera,3
CUST0146,41.0,Female,Delhi NCR,Large,Food Processing,Robotics,907034.05,8,113379.26,54,0.667,Robot Controller,37
CUST0147,30.0,Male,Mumbai,Large,Electronics,Control,247642.34,12,20636.86,72,1.0,HMI,57
CUST0148,44.0,Female,Chennai,Large,Pharmaceutical,End Effectors,181845.38,9,20205.04,104,0.75,Robotic Gripper,29
CUST0149,44.0,Female,Bengaluru,Large,Manufacturing,Robotics,904613.26,7,129230.47,11,0.583,SCARA Robot,61
CUST0150,31.0,Male,Pune,Large,Pharmaceutical,End Effectors,271172.78,11,24652.07,37,0.917,Vacuum Gripper,40
CUST0151,39.0,Male,Bengaluru,Medium,Automotive,Mobile Robotics,608766.82,3,202922.27,89,0.25,AGV,38
CUST0152,44.0,Male,Mumbai,Medium,Manufacturing,Mobile Robotics,220990.52,3,73663.51,24,0.25,AMR,60
CUST0153,35.0,Male,Bengaluru,Small,Pharmaceutical,Robotics,704956.91,4,176239.23,5,0.333,Industrial Robot,27
CUST0154,33.0,Male,Hyderabad,Medium,Pharmaceutical,Mobile Robotics,396490.09,6,66081.68,25,0.5,AMR,9
CUST0155,49.0,Male,Bengaluru,Medium,Textile,Mobile Robotics,607837.55,9,67537.51,31,0.75,AGV,24
CUST0156,34.0,Male,Hyderabad,Small,Textile,Control,146169.42,4,36542.35,42,0.333,PLC,15
CUST0157,37.0,Male,Mumbai,Medium,Textile,Control,190461.98,4,47615.5,79,0.333,PLC,36
CUST0158,62.0,Male,Hyderabad,Small,General Engineering,Machine Vision,95310.81,3,31770.27,41,0.25,Machine Vision Camera,28
CUST0159,44.0,Male,Delhi NCR,Medium,Pharmaceutical,Mobile Robotics,340655.36,9,37850.6,56,0.75,AGV,6
CUST0160,38.0,Female,Bengaluru,Large,Food Processing,Sensors,168094.81,8,21011.85,18,0.667,Ultrasonic Sensor,61
CUST0161,35.0,Male,Pune,Medium,Warehouse & Logistics,Sensors,111395.18,5,22279.04,166,0.417,Proximity Sensor,13
CUST0162,23.0,Male,Ahmedabad,Small,Textile,Sensors,85826.13,6,14304.35,33,0.5,Ultrasonic Sensor,25
CUST0163,49.0,Male,Ahmedabad,Medium,Food Processing,Machine Vision,260114.1,9,28901.57,18,0.75,Machine Vision Camera,55
CUST0164,34.0,Male,Ahmedabad,Large,Warehouse & Logistics,Sensors,118292.84,8,14786.6,74,0.667,LiDAR Sensor,37
CUST0165,32.0,Male,Bengaluru,Medium,Textile,End Effectors,137847.2,7,19692.46,149,0.583,Robotic Gripper,28
CUST0166,23.0,Female,Bengaluru,Large,Food Processing,Motion Control,352225.2,6,58704.2,53,0.5,Servo Drive,47
CUST0167,35.0,Female,Chennai,Small,Warehouse & Logistics,Control,136942.41,4,34235.6,66,0.333,HMI,7
CUST0168,38.0,Male,Delhi NCR,Small,Pharmaceutical,End Effectors,96914.74,3,32304.91,161,0.25,Vacuum Gripper,6
CUST0169,53.0,Male,Bengaluru,Medium,Food Processing,Mobile Robotics,212334.41,8,26541.8,36,0.667,AMR,3
CUST0170,48.0,Male,Chennai,Medium,Pharmaceutical,Robotics,503061.72,7,71865.96,34,0.583,SCARA Robot,36
CUST0171,23.0,Male,Delhi NCR,Medium,Automotive,Sensors,171754.16,8,21469.27,59,0.667,Proximity Sensor,48
CUST0172,41.0,Male,Bengaluru,Small,Food Processing,Mobile Robotics,174757.42,5,34951.48,15,0.417,AMR,26
CUST0173,44.0,Male,Bengaluru,Medium,General Engineering,Control,248604.82,6,41434.14,78,0.5,HMI,32
CUST0174,24.0,Male,Delhi NCR,Medium,Manufacturing,Robotics,617021.38,9,68557.93,42,0.75,Collaborative Robot,8
CUST0175,33.0,Female,Chennai,Large,Automotive,Control,320451.91,7,45778.84,55,0.583,HMI,42
CUST0176,39.0,Male,Coimbatore,Medium,Automotive,Machine Vision,253976.53,2,126988.26,92,0.167,Machine Vision Camera,36
CUST0177,39.0,Male,Bengaluru,Small,Electronics,Machine Vision,290027.35,8,36253.42,10,0.667,Machine Vision Camera,13
CUST0178,27.0,Male,Coimbatore,Small,Warehouse & Logistics,Mobile Robotics,232924.27,3,77641.42,73,0.25,AGV,30
CUST0179,33.0,Male,Coimbatore,Large,Warehouse & Logistics,Mobile Robotics,479925.17,6,79987.53,52,0.5,AGV,27
CUST0180,50.0,Male,Chennai,Small,Food Processing,Sensors,71937.26,2,35968.63,49,0.167,Proximity Sensor,26
CUST0181,38.0,Male,Bengaluru,Medium,Automotive,Robotics,724579.58,3,241526.53,46,0.25,SCARA Robot,48
CUST0182,38.0,Female,Delhi NCR,Large,Warehouse & Logistics,Sensors,193892.53,8,24236.57,102,0.667,LiDAR Sensor,32
CUST0183,25.0,Male,Bengaluru,Small,Manufacturing,Robotics,346307.45,6,57717.91,37,0.5,Industrial Robot,12
CUST0184,41.0,Male,Chennai,Medium,Food Processing,Mobile Robotics,334621.02,7,47803.0,76,0.583,AGV,22
CUST0185,35.0,Female,Delhi NCR,Medium,Manufacturing,Robotics,605090.18,4,151272.54,85,0.333,Industrial Robot,37
CUST0186,40.0,Female,Mumbai,Medium,Pharmaceutical,Control,175664.07,6,29277.34,19,0.5,HMI,38
CUST0187,36.0,Male,Delhi NCR,Large,Manufacturing,Robotics,616894.57,5,123378.91,109,0.417,Industrial Robot,38
CUST0188,38.0,Female,Pune,Medium,Manufacturing,Mobile Robotics,463026.37,5,92605.27,47,0.417,AGV,25
CUST0189,33.0,Male,Coimbatore,Small,Pharmaceutical,Machine Vision,39689.25,6,6614.88,19,0.5,Machine Vision Camera,13
CUST0190,38.0,Male,Chennai,Medium,Automotive,Sensors,56794.97,2,28397.49,46,0.167,Proximity Sensor,42
CUST0191,39.0,Female,Pune,Small,Food Processing,Machine Vision,326358.19,5,65271.64,27,0.417,Machine Vision Camera,27
CUST0192,43.0,Male,Pune,Medium,Pharmaceutical,Machine Vision,312757.54,5,62551.51,11,0.417,Machine Vision Camera,34
CUST0193,52.0,Male,Mumbai,Medium,Manufacturing,Robotics,532283.97,7,76040.57,88,0.583,SCARA Robot,25
CUST0194,37.0,Male,Bengaluru,Medium,Automotive,Robotics,570060.28,3,190020.09,12,0.25,Collaborative Robot,20
CUST0195,39.0,Male,Pune,Large,Food Processing,Machine Vision,479596.34,7,68513.76,72,0.583,Machine Vision Camera,64
CUST0196,46.0,Male,Pune,Medium,Textile,Machine Vision,208301.76,6,34716.96,24,0.5,Machine Vision Camera,15
CUST0197,29.0,Male,Mumbai,Large,Automotive,Robotics,675766.27,7,96538.04,87,0.583,SCARA Robot,23
CUST0198,40.0,Male,Hyderabad,Small,Textile,Robotics,434747.91,4,108686.98,47,0.333,SCARA Robot,12
CUST0199,47.0,Male,Delhi NCR,Small,Textile,Control,85480.14,3,28493.38,15,0.25,HMI,37
CUST0200,34.0,Male,Chennai,Large,Warehouse & Logistics,Mobile Robotics,764229.94,10,76422.99,70,0.833,AGV,39
CUST0201,29.0,Male,Bengaluru,Medium,Manufacturing,Motion Control,197232.91,6,32872.15,35,0.5,Servo Drive,14
CUST0202,32.0,Female,Hyderabad,Medium,Food Processing,Motion Control,215449.69,4,53862.42,26,0.333,Servo Motor,20
CUST0203,33.0,Male,Pune,Medium,Manufacturing,Sensors,74481.25,2,37240.62,22,0.167,Proximity Sensor,52
CUST0204,36.0,Male,Pune,Small,Automotive,End Effectors,37301.37,4,9325.34,46,0.333,Robotic Gripper,16
CUST0205,38.0,Male,Pune,Large,General Engineering,Control,347341.7,7,49620.24,100,0.583,PLC,36
CUST0206,40.0,Female,Chennai,Medium,General Engineering,Sensors,194425.61,4,48606.4,25,0.333,LiDAR Sensor,31
CUST0207,42.0,Male,Pune,Small,Food Processing,Robotics,256308.0,1,256308.0,36,0.083,SCARA Robot,15
CUST0208,30.0,Male,Bengaluru,Small,Pharmaceutical,Robotics,488735.92,2,244367.96,64,0.167,Collaborative Robot,3
CUST0209,42.0,Male,Bengaluru,Medium,Textile,Sensors,153121.24,7,21874.46,75,0.583,LiDAR Sensor,21
CUST0210,43.0,Female,Chennai,Medium,Food Processing,Motion Control,162077.22,8,20259.65,165,0.667,Servo Motor,22
CUST0211,37.0,Male,Ahmedabad,Medium,General Engineering,Mobile Robotics,574484.14,3,191494.71,104,0.25,AGV,33
CUST0212,33.0,Female,Coimbatore,Large,Electronics,End Effectors,183097.22,7,26156.75,25,0.583,Robotic Gripper,13
CUST0213,47.0,Male,Chennai,Medium,Pharmaceutical,Sensors,38383.42,5,7676.68,87,0.417,LiDAR Sensor,22
CUST0214,26.0,Male,Chennai,Small,Warehouse & Logistics,Mobile Robotics,227260.51,4,56815.13,19,0.333,AMR,19
CUST0215,38.0,Female,Hyderabad,Medium,Warehouse & Logistics,End Effectors,168725.99,6,28121.0,54,0.5,Robotic Gripper,46
CUST0216,36.0,Male,Bengaluru,Small,General Engineering,Robotics,329241.82,8,41155.23,55,0.667,Collaborative Robot,14
CUST0217,26.0,Female,Ahmedabad,Medium,Warehouse & Logistics,Sensors,75437.67,5,15087.53,34,0.417,Ultrasonic Sensor,36
CUST0218,40.0,Male,Bengaluru,Small,Electronics,Control,95958.7,4,23989.68,105,0.333,HMI,6
CUST0219,26.0,Female,Bengaluru,Medium,Automotive,Machine Vision,133870.18,5,26774.04,103,0.417,Machine Vision Camera,24
