Customer_ID,Age,Gender,Region,Company_Size,Industry,Product_Category,Annual_Spend,Number_of_Orders,Average_Order_Value,Recency_Days,Purchase_Frequency,Preferred_Product,Customer_Tenure_Months,Cluster,Segment
CUST0041,31.0,Male,Bengaluru,Small,General Engineering,Machine Vision,145364.07,7,20766.29571428572,30,0.5833333333333334,Machine Vision Camera,14,3,Frequent Automation Buyers
CUST0042,41.0,Female,Ahmedabad,Large,Manufacturing,End Effectors,261877.46,7,37411.06571428572,61,0.5833333333333334,Vacuum Gripper,34,3,Frequent Automation Buyers
CUST0043,42.0,Female,Bengaluru,Small,Textile,Control,102031.78,4,25507.945,53,0.3333333333333333,PLC,4,0,Active Growth Customers
CUST0044,33.0,Male,Pune,Small,Textile,End Effectors,158812.29,4,39703.0725,103,0.3333333333333333,Robotic Gripper,18,1,Low-Activity Customers
CUST0045,39.0,Male,Hyderabad,Medium,Manufacturing,Motion Control,197705.93,5,39541.186,78,0.4166666666666667,Servo Motor,33,0,Active Growth Customers
CUST0046,36.0,Male,Chennai,Small,Pharmaceutical,End Effectors,191477.13,4,47869.2825,36,0.3333333333333333,Robotic Gripper,28,0,Active Growth Customers
CUST0047,34.0,Male,Coimbatore,Medium,Pharmaceutical,Robotics,373397.89,4,93349.4725,90,0.3333333333333333,Robot Controller,14,1,Low-Activity Customers
CUST0048,30.0,Male,Chennai,Medium,Pharmaceutical,Motion Control,84192.62,5,16838.523999999998,53,0.4166666666666667,Servo Motor,16,0,Active Growth Customers
CUST0049,47.0,Male,Pune,Medium,Automotive,Sensors,93194.68,12,7766.223333333332,122,1.0,Proximity Sensor,33,3,Frequent Automation Buyers
CUST0050,37.0,Female,Bengaluru,Medium,General Engineering,Motion Control,291950.1,3,97316.7,62,0.25,Servo Drive,44,0,Active Growth Customers
CUST0051,41.0,Female,Pune,Large,Manufacturing,Robotics,838634.79,8,104829.34875,127,0.6666666666666666,Collaborative Robot,40,3,Frequent Automation Buyers
CUST0052,27.0,Female,Bengaluru,Medium,Warehouse & Logistics,Robotics,344664.38,7,49237.76857142857,101,0.5833333333333334,SCARA Robot,39,1,Low-Activity Customers
CUST0053,44.0,Male,Chennai,Large,Automotive,Sensors,223696.02,8,27962.0025,10,0.6666666666666666,Ultrasonic Sensor,31,3,Frequent Automation Buyers
CUST0054,40.0,Male,Bengaluru,Small,Manufacturing,Mobile Robotics,336731.23,5,67346.246,31,0.4166666666666667,AMR,3,0,Active Growth Customers
CUST0055,44.0,Male,Mumbai,Large,Electronics,End Effectors,176365.24,11,16033.203636363636,39,0.9166666666666666,Robotic Gripper,34,3,Frequent Automation Buyers
CUST0056,38.0,Male,Hyderabad,Medium,Electronics,Motion Control,288876.21,5,57775.242000000006,8,0.4166666666666667,Servo Motor,30,0,Active Growth Customers
CUST0057,37.0,Female,Hyderabad,Large,Manufacturing,Motion Control,385226.42,6,64204.40333333333,34,0.5,Servo Drive,44,0,Active Growth Customers
CUST0058,29.0,Male,Chennai,Medium,Manufacturing,Robotics,428438.56,4,107109.64,60,0.3333333333333333,Collaborative Robot,40,2,High-Value Automation Customers
CUST0059,38.0,Female,Pune,Medium,Manufacturing,End Effectors,151712.21,3,50570.73666666666,125,0.25,Robotic Gripper,16,1,Low-Activity Customers
CUST0060,43.0,Female,Delhi NCR,Small,Manufacturing,Sensors,59435.66,3,19811.88666666667,20,0.25,Proximity Sensor,44,0,Active Growth Customers
CUST0061,34.0,Male,Chennai,Medium,Pharmaceutical,Robotics,500104.16,3,166701.38666666666,48,0.25,SCARA Robot,28,2,High-Value Automation Customers
CUST0062,32.0,Male,Hyderabad,Medium,Pharmaceutical,Sensors,136751.52,7,19535.931428571428,65,0.5833333333333334,Proximity Sensor,41,3,Frequent Automation Buyers
CUST0063,33.0,Male,Bengaluru,Small,Pharmaceutical,End Effectors,175276.26,5,35055.252,88,0.4166666666666667,Robotic Gripper,3,1,Low-Activity Customers
CUST0064,38.0,Female,Mumbai,Large,Food Processing,Robotics,1046496.6,7,149499.51428571428,56,0.5833333333333334,Industrial Robot,47,2,High-Value Automation Customers
CUST0065,27.0,Male,Ahmedabad,Medium,Warehouse & Logistics,Motion Control,142389.62,2,71194.81,83,0.1666666666666666,Servo Drive,38,0,Active Growth Customers
CUST0066,32.0,Male,Chennai,Small,General Engineering,Robotics,511144.13,3,170381.37666666668,41,0.25,Industrial Robot,20,2,High-Value Automation Customers
CUST0067,53.0,Female,Mumbai,Large,Food Processing,Sensors,200105.13,8,25013.14125,22,0.6666666666666666,LiDAR Sensor,33,3,Frequent Automation Buyers
CUST0068,41.0,Male,Bengaluru,Medium,Textile,Robotics,551861.1,11,50169.19090909091,22,0.9166666666666666,Robot Controller,33,3,Frequent Automation Buyers
CUST0069,25.0,Male,Hyderabad,Small,General Engineering,Robotics,249469.37,3,83156.45666666667,91,0.25,Collaborative Robot,19,1,Low-Activity Customers
CUST0070,38.0,Male,Ahmedabad,Medium,Manufacturing,Mobile Robotics,502434.82,3,167478.27333333337,44,0.25,AMR,12,2,High-Value Automation Customers
CUST0071,42.0,Male,Delhi NCR,Large,Warehouse & Logistics,Mobile Robotics,748271.61,8,93533.95125,21,0.6666666666666666,AGV,20,3,Frequent Automation Buyers
CUST0072,41.0,Male,Delhi NCR,Medium,Electronics,Robotics,346110.25,8,43263.78125,160,0.6666666666666666,Industrial Robot,20,1,Low-Activity Customers
CUST0073,34.0,Male,Pune,Medium,Electronics,End Effectors,198654.63,8,24831.82875,90,0.6666666666666666,Vacuum Gripper,35,3,Frequent Automation Buyers
CUST0074,35.0,Male,Pune,Medium,Electronics,Mobile Robotics,203164.69,7,29023.527142857143,6,0.5833333333333334,AGV,27,3,Frequent Automation Buyers
CUST0075,45.0,Female,Hyderabad,Medium,Automotive,Sensors,128445.04,4,32111.26,91,0.3333333333333333,Proximity Sensor,26,1,Low-Activity Customers
CUST0076,40.0,Female,Mumbai,Medium,Warehouse & Logistics,Sensors,122616.83,9,13624.092222222222,97,0.75,Ultrasonic Sensor,44,3,Frequent Automation Buyers
CUST0077,45.0,Female,Pune,Medium,Warehouse & Logistics,Mobile Robotics,334684.38,8,41835.5475,70,0.6666666666666666,AMR,37,3,Frequent Automation Buyers
CUST0078,43.0,Female,Coimbatore,Small,Food Processing,Mobile Robotics,340425.19,5,68085.038,13,0.4166666666666667,AMR,34,0,Active Growth Customers
CUST0079,36.0,Male,Ahmedabad,Large,Textile,Mobile Robotics,573670.05,10,57367.005000000005,110,0.8333333333333334,AGV,57,3,Frequent Automation Buyers
CUST0080,30.0,Male,Ahmedabad,Large,Automotive,Mobile Robotics,755196.43,5,151039.28600000002,33,0.4166666666666667,AMR,53,2,High-Value Automation Customers
CUST0081,48.0,Male,Delhi NCR,Medium,Electronics,Robotics,596910.35,7,85272.90714285713,31,0.5833333333333334,Robot Controller,25,3,Frequent Automation Buyers
CUST0082,35.0,Female,Chennai,Large,Manufacturing,Machine Vision,388401.68,7,55485.95428571429,56,0.5833333333333334,Machine Vision Camera,32,3,Frequent Automation Buyers
CUST0083,41.0,Male,Pune,Large,Manufacturing,Motion Control,311051.91,12,25920.9925,38,1.0,Servo Motor,22,3,Frequent Automation Buyers
CUST0084,36.0,Male,Delhi NCR,Medium,Automotive,Mobile Robotics,332992.14,6,55498.69,18,0.5,AGV,21,0,Active Growth Customers
CUST0085,29.0,Female,Mumbai,Large,Textile,Control,245259.06,11,22296.278181818183,55,0.9166666666666666,HMI,57,3,Frequent Automation Buyers
CUST0086,41.0,Female,Bengaluru,Small,Textile,Motion Control,156802.25,5,31360.45,83,0.4166666666666667,Servo Motor,10,1,Low-Activity Customers
CUST0087,24.0,Male,Mumbai,Large,Automotive,Sensors,109160.4,9,12128.933333333332,45,0.75,LiDAR Sensor,44,3,Frequent Automation Buyers
CUST0088,38.0,Female,Delhi NCR,Medium,General Engineering,Mobile Robotics,374120.33,5,74824.066,45,0.4166666666666667,AGV,31,0,Active Growth Customers
CUST0089,39.0,Male,Chennai,Medium,Manufacturing,Sensors,148828.46,6,24804.74333333333,24,0.5,Proximity Sensor,42,0,Active Growth Customers
CUST0090,45.0,Male,Ahmedabad,Medium,Warehouse & Logistics,Robotics,653675.33,3,217891.77666666664,50,0.25,SCARA Robot,3,2,High-Value Automation Customers
CUST0091,28.0,Male,Hyderabad,Medium,Electronics,Motion Control,193304.58,8,24163.0725,83,0.6666666666666666,Servo Drive,12,3,Frequent Automation Buyers
CUST0092,44.0,Female,Chennai,Medium,Electronics,Sensors,85252.76,9,9472.528888888888,94,0.75,LiDAR Sensor,35,3,Frequent Automation Buyers
CUST0093,39.0,Male,Chennai,Small,Textile,Motion Control,94542.41,3,31514.13666666667,91,0.25,Servo Drive,15,1,Low-Activity Customers
CUST0094,48.0,Male,Delhi NCR,Large,General Engineering,Mobile Robotics,556688.43,8,69586.05375,23,0.6666666666666666,AMR,39,3,Frequent Automation Buyers
CUST0095,31.0,Male,Pune,Large,General Engineering,Control,391777.74,5,78355.548,162,0.4166666666666667,HMI,50,1,Low-Activity Customers
CUST0096,40.0,Male,Bengaluru,Medium,Warehouse & Logistics,Control,206837.82,6,34472.97,23,0.5,PLC,3,0,Active Growth Customers
CUST0097,33.0,Male,Chennai,Medium,Food Processing,Motion Control,143290.42,5,28658.084000000003,72,0.4166666666666667,Servo Drive,29,0,Active Growth Customers
CUST0098,36.0,Male,Coimbatore,Small,Warehouse & Logistics,Sensors,53385.05,1,53385.05,15,0.0833333333333333,Ultrasonic Sensor,35,0,Active Growth Customers
CUST0099,42.0,Male,Mumbai,Medium,Electronics,Robotics,667465.04,7,95352.14857142858,56,0.5833333333333334,Robot Controller,46,3,Frequent Automation Buyers
CUST0100,32.0,Male,Coimbatore,Small,Automotive,Robotics,372152.84,6,62025.473333333335,11,0.5,Industrial Robot,3,0,Active Growth Customers
CUST0101,39.0,Female,Coimbatore,Small,Textile,Sensors,15000.0,3,5000.0,46,0.25,Proximity Sensor,23,0,Active Growth Customers
CUST0102,32.0,Male,Chennai,Medium,Pharmaceutical,Mobile Robotics,246180.41,2,123090.205,28,0.1666666666666666,AGV,21,2,High-Value Automation Customers
CUST0103,49.0,Male,Mumbai,Medium,Warehouse & Logistics,Sensors,94975.59,3,31658.53,36,0.25,Proximity Sensor,24,0,Active Growth Customers
CUST0104,23.0,Male,Delhi NCR,Small,Food Processing,Motion Control,279447.14,4,69861.785,40,0.3333333333333333,Servo Drive,26,0,Active Growth Customers
CUST0105,40.0,Female,Bengaluru,Medium,Manufacturing,Mobile Robotics,373709.31,3,124569.77,19,0.25,AMR,32,2,High-Value Automation Customers
CUST0106,43.0,Male,Chennai,Medium,Automotive,Sensors,115338.8,5,23067.76,84,0.4166666666666667,Proximity Sensor,39,1,Low-Activity Customers
CUST0107,34.0,Male,Bengaluru,Small,Automotive,Mobile Robotics,212173.78,3,70724.59333333334,60,0.25,AGV,21,0,Active Growth Customers
CUST0108,44.0,Male,Coimbatore,Large,Pharmaceutical,Mobile Robotics,532478.88,7,76068.41142857143,46,0.5833333333333334,AGV,68,3,Frequent Automation Buyers
CUST0109,42.0,Male,Coimbatore,Medium,Warehouse & Logistics,Motion Control,276514.69,4,69128.6725,53,0.3333333333333333,Servo Motor,14,0,Active Growth Customers
CUST0110,38.0,Female,Delhi NCR,Medium,Manufacturing,Motion Control,188660.05,8,23582.50625,27,0.6666666666666666,Servo Drive,15,3,Frequent Automation Buyers
CUST0111,37.0,Female,Bengaluru,Small,Textile,Machine Vision,164756.2,4,41189.05,103,0.3333333333333333,Machine Vision Camera,10,1,Low-Activity Customers
CUST0112,38.0,Male,Pune,Small,Warehouse & Logistics,Control,92657.22,4,23164.305,85,0.3333333333333333,HMI,8,1,Low-Activity Customers
CUST0113,33.0,Female,Bengaluru,Small,Pharmaceutical,Sensors,88178.34,1,88178.34,45,0.0833333333333333,LiDAR Sensor,9,0,Active Growth Customers
CUST0114,42.0,Male,Mumbai,Medium,Warehouse & Logistics,Robotics,767946.71,5,153589.342,77,0.4166666666666667,SCARA Robot,14,2,High-Value Automation Customers
CUST0115,39.0,Female,Mumbai,Medium,Electronics,End Effectors,171706.84,8,21463.355,70,0.6666666666666666,Vacuum Gripper,44,3,Frequent Automation Buyers
CUST0116,42.0,Male,Delhi NCR,Medium,Electronics,Control,132553.94,8,16569.2425,77,0.6666666666666666,PLC,29,3,Frequent Automation Buyers
CUST0117,38.0,Female,Ahmedabad,Medium,Warehouse & Logistics,Robotics,746792.1,4,186698.025,36,0.3333333333333333,SCARA Robot,3,2,High-Value Automation Customers
CUST0118,45.0,Male,Delhi NCR,Medium,General Engineering,Motion Control,223276.19,6,37212.69833333333,104,0.5,Servo Drive,32,1,Low-Activity Customers
CUST0119,35.0,Female,Hyderabad,Large,Automotive,Sensors,196632.03,13,15125.540769230767,32,1.0833333333333333,Proximity Sensor,42,3,Frequent Automation Buyers
CUST0120,40.0,Male,Hyderabad,Small,Warehouse & Logistics,Motion Control,15000.0,6,2500.0,179,0.5,Servo Drive,29,1,Low-Activity Customers
CUST0121,31.0,Male,Bengaluru,Small,Pharmaceutical,Mobile Robotics,224801.9,4,56200.475,43,0.3333333333333333,AMR,23,0,Active Growth Customers
CUST0122,38.0,Male,Delhi NCR,Medium,Automotive,End Effectors,256988.64,6,42831.44,47,0.5,Robotic Gripper,21,0,Active Growth Customers
CUST0123,39.0,Female,Coimbatore,Medium,Manufacturing,Mobile Robotics,519008.05,6,86501.34166666666,44,0.5,AMR,43,3,Frequent Automation Buyers
CUST0124,34.0,Male,Mumbai,Small,Pharmaceutical,Motion Control,185541.98,4,46385.495,53,0.3333333333333333,Servo Motor,17,0,Active Growth Customers
CUST0125,43.0,Male,Pune,Large,Electronics,Robotics,786587.53,7,112369.64714285715,39,0.5833333333333334,Industrial Robot,44,3,Frequent Automation Buyers
CUST0126,23.0,Female,Chennai,Medium,Automotive,Robotics,203202.09,4,50800.5225,46,0.3333333333333333,Collaborative Robot,37,0,Active Growth Customers
CUST0127,23.0,Female,Bengaluru,Large,Manufacturing,Machine Vision,308591.03,5,61718.206000000006,49,0.4166666666666667,Machine Vision Camera,47,0,Active Growth Customers
CUST0128,39.0,Male,Mumbai,Small,Manufacturing,Motion Control,135688.85,4,33922.2125,71,0.3333333333333333,Servo Motor,8,0,Active Growth Customers
CUST0129,40.0,Male,Hyderabad,Small,Manufacturing,Robotics,139084.47,4,34771.1175,8,0.3333333333333333,SCARA Robot,29,0,Active Growth Customers
CUST0130,52.0,Male,Coimbatore,Medium,Automotive,Control,149696.48,5,29939.296,21,0.4166666666666667,HMI,38,0,Active Growth Customers
CUST0131,47.0,Male,Pune,Small,Food Processing,Motion Control,136535.64,3,45511.880000000005,57,0.25,Servo Drive,13,0,Active Growth Customers
CUST0132,42.0,Male,Hyderabad,Medium,Manufacturing,Sensors,121616.2,5,24323.24,60,0.4166666666666667,LiDAR Sensor,20,0,Active Growth Customers
CUST0133,43.0,Male,Delhi NCR,Medium,Warehouse & Logistics,Robotics,534144.75,4,133536.1875,60,0.3333333333333333,SCARA Robot,48,2,High-Value Automation Customers
CUST0134,40.0,Male,Delhi NCR,Small,Food Processing,Robotics,530532.51,3,176844.17,25,0.25,Collaborative Robot,32,2,High-Value Automation Customers
CUST0135,28.0,Male,Bengaluru,Medium,General Engineering,End Effectors,72999.07,5,14599.814000000002,17,0.4166666666666667,Vacuum Gripper,29,0,Active Growth Customers
CUST0136,37.0,Female,Ahmedabad,Medium,Warehouse & Logistics,Sensors,163989.94,3,54663.31333333333,4,0.25,Proximity Sensor,13,0,Active Growth Customers
CUST0137,44.0,Female,Chennai,Small,General Engineering,Mobile Robotics,233414.09,9,25934.89888888889,19,0.75,AMR,11,3,Frequent Automation Buyers
CUST0138,31.0,Female,Bengaluru,Large,Electronics,Motion Control,330455.63,9,36717.29222222223,3,0.75,Servo Motor,37,3,Frequent Automation Buyers
CUST0139,40.0,Female,Chennai,Small,Manufacturing,Sensors,103688.31,2,51844.155,38,0.1666666666666666,Ultrasonic Sensor,52,0,Active Growth Customers
CUST0140,36.0,Male,Mumbai,Medium,Automotive,Sensors,70352.74,7,10050.391428571427,83,0.5833333333333334,LiDAR Sensor,23,1,Low-Activity Customers
CUST0141,34.0,Male,Hyderabad,Large,Food Processing,Control,214998.38,4,53749.595,130,0.3333333333333333,PLC,51,1,Low-Activity Customers
CUST0142,25.0,Male,Mumbai,Small,Warehouse & Logistics,Robotics,306038.65,4,76509.6625,13,0.3333333333333333,Industrial Robot,54,0,Active Growth Customers
CUST0143,32.0,Female,Delhi NCR,Small,Food Processing,Mobile Robotics,421336.54,4,105334.135,16,0.3333333333333333,AGV,26,2,High-Value Automation Customers
CUST0144,39.0,Female,Hyderabad,Large,Electronics,Robotics,939327.35,12,78277.27916666666,21,1.0,Collaborative Robot,64,3,Frequent Automation Buyers
CUST0145,43.0,Male,Bengaluru,Medium,General Engineering,Machine Vision,218906.46,7,31272.351428571423,27,0.5833333333333334,Machine Vision Camera,3,3,Frequent Automation Buyers
CUST0146,41.0,Female,Delhi NCR,Large,Food Processing,Robotics,907034.05,8,113379.25625,54,0.6666666666666666,Robot Controller,37,3,Frequent Automation Buyers
CUST0147,30.0,Male,Mumbai,Large,Electronics,Control,247642.34,12,20636.861666666668,72,1.0,HMI,57,3,Frequent Automation Buyers
CUST0148,44.0,Female,Chennai,Large,Pharmaceutical,End Effectors,181845.38,9,20205.042222222222,104,0.75,Robotic Gripper,29,3,Frequent Automation Buyers
CUST0149,44.0,Female,Bengaluru,Large,Manufacturing,Robotics,904613.26,7,129230.46571428572,11,0.5833333333333334,SCARA Robot,61,2,High-Value Automation Customers
CUST0150,31.0,Male,Pune,Large,Pharmaceutical,End Effectors,271172.78,11,24652.07090909091,37,0.9166666666666666,Vacuum Gripper,40,3,Frequent Automation Buyers
CUST0151,39.0,Male,Bengaluru,Medium,Automotive,Mobile Robotics,608766.82,3,202922.2733333333,89,0.25,AGV,38,2,High-Value Automation Customers
CUST0152,44.0,Male,Mumbai,Medium,Manufacturing,Mobile Robotics,220990.52,3,73663.50666666667,24,0.25,AMR,60,0,Active Growth Customers
CUST0153,35.0,Male,Bengaluru,Small,Pharmaceutical,Robotics,704956.91,4,176239.2275,5,0.3333333333333333,Industrial Robot,27,2,High-Value Automation Customers
CUST0154,33.0,Male,Hyderabad,Medium,Pharmaceutical,Mobile Robotics,396490.09,6,66081.68166666667,25,0.5,AMR,9,0,Active Growth Customers
CUST0155,49.0,Male,Bengaluru,Medium,Textile,Mobile Robotics,607837.55,9,67537.50555555556,31,0.75,AGV,24,3,Frequent Automation Buyers
CUST0156,34.0,Male,Hyderabad,Small,Textile,Control,146169.42,4,36542.355,42,0.3333333333333333,PLC,15,0,Active Growth Customers
CUST0157,37.0,Male,Mumbai,Medium,Textile,Control,190461.98,4,47615.495,79,0.3333333333333333,PLC,36,0,Active Growth Customers
CUST0158,62.0,Male,Hyderabad,Small,General Engineering,Machine Vision,95310.81,3,31770.27,41,0.25,Machine Vision Camera,28,0,Active Growth Customers
CUST0159,44.0,Male,Delhi NCR,Medium,Pharmaceutical,Mobile Robotics,340655.36,9,37850.59555555556,56,0.75,AGV,6,3,Frequent Automation Buyers
CUST0160,38.0,Female,Bengaluru,Large,Food Processing,Sensors,168094.81,8,21011.85125,18,0.6666666666666666,Ultrasonic Sensor,61,3,Frequent Automation Buyers
CUST0161,35.0,Male,Pune,Medium,Warehouse & Logistics,Sensors,111395.18,5,22279.036,166,0.4166666666666667,Proximity Sensor,13,1,Low-Activity Customers
CUST0162,23.0,Male,Ahmedabad,Small,Textile,Sensors,85826.13,6,14304.355,33,0.5,Ultrasonic Sensor,25,0,Active Growth Customers
CUST0163,49.0,Male,Ahmedabad,Medium,Food Processing,Machine Vision,260114.1,9,28901.566666666666,18,0.75,Machine Vision Camera,55,3,Frequent Automation Buyers
CUST0164,34.0,Male,Ahmedabad,Large,Warehouse & Logistics,Sensors,118292.84,8,14786.605,74,0.6666666666666666,LiDAR Sensor,37,3,Frequent Automation Buyers
CUST0165,32.0,Male,Bengaluru,Medium,Textile,End Effectors,137847.2,7,19692.457142857143,149,0.5833333333333334,Robotic Gripper,28,1,Low-Activity Customers
CUST0166,23.0,Female,Bengaluru,Large,Food Processing,Motion Control,352225.2,6,58704.2,53,0.5,Servo Drive,47,0,Active Growth Customers
CUST0167,35.0,Female,Chennai,Small,Warehouse & Logistics,Control,136942.41,4,34235.6025,66,0.3333333333333333,HMI,7,0,Active Growth Customers
CUST0168,38.0,Male,Delhi NCR,Small,Pharmaceutical,End Effectors,96914.74,3,32304.91333333333,161,0.25,Vacuum Gripper,6,1,Low-Activity Customers
CUST0169,53.0,Male,Bengaluru,Medium,Food Processing,Mobile Robotics,212334.41,8,26541.80125,36,0.6666666666666666,AMR,3,3,Frequent Automation Buyers
CUST0170,48.0,Male,Chennai,Medium,Pharmaceutical,Robotics,503061.72,7,71865.95999999999,34,0.5833333333333334,SCARA Robot,36,3,Frequent Automation Buyers
CUST0171,23.0,Male,Delhi NCR,Medium,Automotive,Sensors,171754.16,8,21469.27,59,0.6666666666666666,Proximity Sensor,48,3,Frequent Automation Buyers
